group_id,decision,legacy_product_ids,canonical_identity,canonical_title,categories_union,brand_status,description_status,media_count_before,media_count_after,urls_count,resulting_action,notes
12,Q03-GLOBAL,49|76|124|126,sql:productos:49,"ICARO SMART AC A2000 120",9|11|18,ASSIGNED,CONFLICT,24,4,1,MERGE,"Ganador=sql:productos:49 (id 49). 4 miembros consolidados."
13,Q03-GLOBAL,54|89|136,sql:productos:54,"Cortina Plana",14|19,ASSIGNED,AGREED,28,6,1,MERGE,"Ganador=sql:productos:54 (id 54). 3 miembros consolidados."
14,Q03-GLOBAL,55|90|137,sql:productos:55,"Cortina Europea",14|19,ASSIGNED,AGREED,27,5,1,MERGE,"Ganador=sql:productos:55 (id 55). 3 miembros consolidados."
15,Q03-GLOBAL,78|84,sql:productos:78,"Operador de puerta comercial RMX Â®",11|13,ASSIGNED,CONFLICT,10,4,1,MERGE,"Ganador=sql:productos:78 (id 78). 2 miembros consolidados."
16,Q03-GLOBAL,96|128,sql:productos:96,"Cortinas ventiladas 685",14|19,ASSIGNED,AGREED,10,3,1,MERGE,"Ganador=sql:productos:96 (id 96). 2 miembros consolidados."
17,Q03-A,2|17,sql:productos:17,"ENERGY SERIES WITH INTELLICOREÂ® 3717 1 3/4â€³, 3720 /3724 / 3722",8,ASSIGNED,AGREED,16,6,1,MERGE,"Ganador=sql:productos:17 (id 17). 2 miembros consolidados."
18,Q03-A,5|88,sql:productos:5,"Cortina en aluminio serie 511/521",14,ASSIGNED,AGREED,10,3,1,MERGE,"Ganador=sql:productos:5 (id 5). 2 miembros consolidados."
19,Q03-A,8|62,sql:productos:62,"Puerta seccional de acero Thermacore serie 592",8,ASSIGNED,AGREED,10,3,1,MERGE,"Ganador=sql:productos:62 (id 62). 2 miembros consolidados."
20,Q03-A,36|101,sql:productos:101,"Fast-SealÂ® High Performance Door",17,ASSIGNED,AGREED,12,5,1,MERGE,"Ganador=sql:productos:101 (id 101). 2 miembros consolidados."
21,Q03-A,39|104,sql:productos:39,"Puerta rÃ¡pida apilable",17,ASSIGNED,AGREED,15,5,1,MERGE,"Ganador=sql:productos:39 (id 39). 2 miembros consolidados."
22,Q03-A,40|105,sql:productos:105,"ROLLI ZIP Puertas rÃ¡pidas enrollables autorreparable",17,ASSIGNED,CONFLICT,14,6,1,MERGE,"Ganador=sql:productos:105 (id 105). 2 miembros consolidados."
23,Q03-A,51|143,sql:productos:51,"Labio de elevaciÃ³n mecÃ¡nico",21,ASSIGNED,AGREED,14,4,1,MERGE,"Ganador=sql:productos:51 (id 51). 2 miembros consolidados."
24,Q03-B,6|16|20|107,sql:productos:6,"ColecciÃ³n Modern Steelâ„¢",36,BRAND_UNRESOLVED_Q09,AGREED,40,7,1,MERGE,"Ganador=sql:productos:6 (id 6). 4 miembros consolidados."
25,Q03-C,43|81,sql:productos:43,"Lift Master Mod H",13,BRAND_UNRESOLVED_Q09,AGREED,10,3,2,MERGE,"Ganador=sql:productos:43 (id 43). 2 miembros consolidados."
26,Q03-D,14|57,sql:productos:14,"Puertas Seccionales de Acero Aisladas Thermospan Â® Modelo 150",8,BRAND_UNRESOLVED_Q09,CONFLICT,11,5,2,MERGE,"Ganador=sql:productos:14 (id 14). 2 miembros consolidados."
27,Q03-E,24|139,sql:productos:24,"Rampas de AndÃ©n HidrÃ¡ulicas",10,BRAND_UNRESOLVED_Q09,AGREED,10,3,1,MERGE,"Ganador=sql:productos:24 (id 24). 2 miembros consolidados. id 3 permanece explicitamente KEEP_REVIEW, fuera de esta consolidacion."
