legacy_source,title,canonical_key,action,draft_status,category_status,brand_status,media_count,url_mapping_status,notes
gol-transmisores-de-cuatro-canales.php,"Transmisores ZEN|ENTREMATIC ZEN: EL TRANSMISOR ADECUADO PARA TODAS LAS NECESIDADES",static:gol-transmisores-de-cuatro-canales.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
lab-4-fotocelulas-de-rayos-infrarrojos.php,"LIN2 Fotocélulas de rayos infrarrojos|Fotocélulas",static:lab-4-fotocelulas-de-rayos-infrarrojos.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
lab-9-detectores-de-volumen-de-metal-loop.php,"Detector de lazo magnético",static:lab-9-detectores-de-volumen-de-metal-loop.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
lan-4-sistema-de-teclado-con-combinacion-digital.php,"LAN 4 – Teclado con combinación digital|Con llave o teclado numérico de combinación, permiten una protección del mando y garantizan que el acceso sea reservado",static:lan-4-sistema-de-teclado-con-combinacion-digital.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
lan-7-sistema-de-mando-de-proximidad-de-tarjetas-con-tecnologia-transponder.php,"Sistemas de mando de proximidad con tecnología transponder",static:lan-7-sistema-de-mando-de-proximidad-de-tarjetas-con-tecnologia-transponder.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
light-communication-system-lcs.php,"Light Communication System (LCS)",static:light-communication-system-lcs.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
luxo-robusto-e-incansable-para-servicios-intensivos-para-hojas-de-hasta-5-m.php,"PWR Robusto e incansable, para servicios intensivos, para hojas de hasta 5 mts.",static:luxo-robusto-e-incansable-para-servicios-intensivos-para-hojas-de-hasta-5-m.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
magic-fuerza-del-operador.php,"Puerta Holandesa",static:magic-fuerza-del-operador.php,REVIEW,n/a,n/a,n/a,0,n/a,"Ficha/familia estática: decidir entidad y contenido; no convertir automáticamente a producto."
pas-sensores-volumetricos.php,"PAS – Sensores volumétricos",static:pas-sensores-volumetricos.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
puerta-seccional-de-acero-thermacore-595-uso-pesado.php,"Thermacore 593 (uso pesado)",static:puerta-seccional-de-acero-thermacore-595-uso-pesado.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",4,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
qik-barreras-automaticas-de-hasta-58-m.php,"QIK – Barreras automaticas de hasta 5,8 m",static:qik-barreras-automaticas-de-hasta-58-m.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
retenedores-de-vehiculos-automatico.php,"RETENEDORES DE VEHICULOS AUTOMATICO TPR|Restricción automática del vehículo TPR®",static:retenedores-de-vehiculos-automatico.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",4,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
sector-puertas-rapidas-enrollables-de-sectores-intercambiables-y-contrapesos.php,"Sector Plus",static:sector-puertas-rapidas-enrollables-de-sectores-intercambiables-y-contrapesos.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",2,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
sector-reset.php,"Sector Reset",static:sector-reset.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",2,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
sg-onixx-600.php,"Ditec Cross 18/19|EL AUTOMATISMO ENSAYADO PARA DURAR",static:sg-onixx-600.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
smart-puertas-rapidas-enrollables-de-sectores-intercambiables-con-motor-externo.php,"SMART – PLUS",static:smart-puertas-rapidas-enrollables-de-sectores-intercambiables-con-motor-externo.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
sprint-automatizaciones-para-puertas-peatonales-pequenas-dimensiones.php,"abatibles peatonales pequeñas dimensiones|SENCILLAMENTE TODO EL CONFORT QUE SIEMPRE HAS SOÑADO",static:sprint-automatizaciones-para-puertas-peatonales-pequenas-dimensiones.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
star1000-receptor-comercial.php,"STAR1000 Receptor comercial",static:star1000-receptor-comercial.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
traffic.php,Traffic,static:traffic.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
upper-up8e-barreras-automaticas-de-hasta-8-m.php,"UPPER UP8E – Barreras automaticas de hasta 8 m",static:upper-up8e-barreras-automaticas-de-hasta-8-m.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
wel-aotmatizacion-de-puertas-peatonales-pequena-y-robusta.php,"abatibles peatonales uso intensivo|Ditec DAB105 EL AUTOMATISMO INTELIGENTE QUE TE SIMPLIFICA LA VIDA|Ditec DAB205|Ditec DAB305",static:wel-aotmatizacion-de-puertas-peatonales-pequena-y-robusta.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
xel-5-selector-de-llave.php,"XEL 5 – Selector de llave",static:xel-5-selector-de-llave.php,CREATE_FROM_STATIC,"draft (post_status=draft, _psi_review_state=pending)","NONE_ASSIGNED (Option B)","NONE_ASSIGNED (Option B)",1,"mapped (see q01-q04-url-mapping.csv)","Q04: ficha sin correspondencia SQL fuerte; producto real, sin categoria ni marca asignada (pendiente decision editorial posterior, no deducida por nombre/menu/semejanza)."
