group_id,group_key,legacy_ids,record_count,titles,legacy_url,alias_urls,category_union,category_names,brand_ids_seen,brand_names_seen,same_normalized_name,same_description_hash,description_hash_count,pdf_identical_or_compatible,image_identical_or_compatible,fields_matching,fields_differing,evidence_level,classification,product_review_rows,media_review_rows,page_review_rows,q10_q11_q13_cross_reference
11,puerta-estandar.php,31|119|131,3,"Puerta estÃ¡ndar",https://puertasyserviciosindustriales.com/puerta-estandar.php,,19|27,"Centros comerciales y hoteles|Puerta estándar",6,Doorlock,YES,NO,2,YES,YES,"name; brand; images(compatible union); pdfs(compatible union)","description(text varies, see audit); category(19|27)",STRONG,SAME_PRODUCT_MULTI_CATEGORY,3,9,1,
12,puerta-estandar-reforzada.php,32|120|132,3,"Puerta estÃ¡ndar reforzada",https://puertasyserviciosindustriales.com/puerta-estandar-reforzada.php,,19|28,"Centros comerciales y hoteles|Puerta estándar reforzada",6,Doorlock,YES,NO,2,YES,YES,"name; brand; images(compatible union); pdfs(compatible union)","description(text varies, see audit); category(19|28)",STRONG,SAME_PRODUCT_MULTI_CATEGORY,3,8,1,
13,puerta-holandesa.php,33|122|133,3,"Puerta Holandesa",https://puertasyserviciosindustriales.com/puerta-holandesa.php,,19|29,"Centros comerciales y hoteles|Puerta Holandesa",6,Doorlock,YES,YES,1,YES,YES,"name; brand; description; images(compatible union); pdfs(compatible union)",category(19|29),STRONG,SAME_PRODUCT_MULTI_CATEGORY,3,6,1,
14,puerta-y-fijos-louver.php,35|121|134,3,"Puerta y fijos Louver",https://puertasyserviciosindustriales.com/puerta-y-fijos-louver.php,,19|30,"Centros comerciales y hoteles|Puerta y fijos Louver",6,Doorlock,YES,YES,1,YES,YES,"name; brand; description; images(compatible union); pdfs(compatible union)",category(19|30),STRONG,SAME_PRODUCT_MULTI_CATEGORY,3,5,1,
15,fast-seal-high-performance-door.php,36|101,2,"Fast-Seal Â® ~~ Fast-SealÂ® High Performance Door",https://puertasyserviciosindustriales.com/fast-seal-high-performance-door.php,,17,"Puertas rápidas",7,Rytec,NO,YES,1,YES,YES,"brand; description; images(compatible union); pdfs(compatible union); category(17, no divergence)",name,STRONG,SAME_PRODUCT_DIFFERENT_NAME,2,6,1,
16,rapida-apilable.php,39|104,2,"Puerta rÃ¡pida apilable ~~ RÃPIDA APILABLE",https://puertasyserviciosindustriales.com/rapida-apilable.php,,17,"Puertas rápidas",8,"Infraca Quality Doors",NO,YES,1,YES,YES,"brand; description; images(compatible union); pdfs(compatible union); category(17, no divergence)",name,STRONG,SAME_PRODUCT_DIFFERENT_NAME,2,6,1,"Q11: PDF INFRACA-RAPIDA-APILABLE.pdf de este mismo grupo (ids 39,104) ya resuelto por diferencia de codificacion Unicode."
17,rolli-zip.php,40|105,2,"ROLLI ZIP Puertas rÃ¡pidas enrollables autorreparabale ~~ ROLLI ZIP Puertas rÃ¡pidas enrollables autorreparable",https://puertasyserviciosindustriales.com/rolli-zip.php,,17,"Puertas rápidas",9,"GLG Porter Industriali",NO,NO,2,YES,YES,"brand; images(compatible union); pdfs(compatible union); category(17, no divergence)","name; description(text varies, see audit)",MODERATE,SAME_PRODUCT_DIFFERENT_NAME,2,7,1,
18,lift-master-mod-h.php,43|81,2,"Lift Master Mod H",https://puertasyserviciosindustriales.com/lift-master-mod-h.php,liftmaster-modh.php,13,"Operadores para puertas seccionales y cortinas enrollables",11|,LiftMaster,YES,YES,1,YES,YES,"name; brand; description; images(compatible union); pdfs(compatible union); category(13, no divergence)",,WEAK_CONTESTED,POSSIBLE_DUPLICATE_BRAND_PENDING,2,4,2,"Conflicto de marca ya documentado (""LiftMaster 43/81: titulo BlueGiant""); Q09-adyacente, no se resuelve aqui."
19,barreras-estacionamiento-moovi50rm.php,44|123|125|135,4,"Barreras de estacionamiento MOOVI50RM",https://puertasyserviciosindustriales.com/barreras-estacionamiento-moovi50rm.php,,9|18|19,"Fraccionamientos y Condominios|Estacionamientos|Centros comerciales y hoteles",12|,BFT,YES,YES,1,YES,YES,"name; brand; description; images(compatible union); pdfs(compatible union)",category(9|18|19),STRONG,SAME_PRODUCT_MULTI_CATEGORY,4,4,1,"Identidad de producto limpia (multi-categoria segura), pero enlace externo BlueGiant vs brand_id=BFT ya documentado (""MOOVI 44/123/125/135""); marca NO se resuelve aqui."
20,p45-7-piston-hidraulico-para-puerta-abatible.php,47|80|113,3,"P4,5-7 Piston Hidraulico para puerta abatible",https://puertasyserviciosindustriales.com/p45-7-piston-hidraulico-para-puerta-abatible.php,,12|38,"Operadores para puerta abatible",12,BFT,YES,NO,2,YES,YES,"name; brand; images(compatible union); pdfs(compatible union)","description(text varies, see audit); category(12|38)",STRONG,SAME_PRODUCT_MULTI_CATEGORY,3,5,1,"Categorias 12 y 38 comparten nombre ""Operadores para puerta abatible"" pero son ramas reales distintas (parent 1=industrial vs parent 7=residencial) -- NO es un caso 25/26/33, ambas categorias son legitimas."
21,lux-2b-y-lux-gv-piston-hidraulico-para-puerta-abatible.php,48|79|112,3,"LUX 2B y Lux GV Piston hidraulico para puerta abatible",https://puertasyserviciosindustriales.com/lux-2b-y-lux-gv-piston-hidraulico-para-puerta-abatible.php,,12|38,"Operadores para puerta abatible",12,BFT,YES,NO,2,YES,YES,"name; brand; images(compatible union); pdfs(compatible union)","description(text varies, see audit); category(12|38)",STRONG,SAME_PRODUCT_MULTI_CATEGORY,3,4,1,"Categorias 12 y 38 comparten nombre ""Operadores para puerta abatible"" pero son ramas reales distintas (parent 1=industrial vs parent 7=residencial) -- NO es un caso 25/26/33, ambas categorias son legitimas."
22,icaro-smart.php,49|76|124|126,4,"ICARO SMART AC A2000 120",https://puertasyserviciosindustriales.com/icaro-smart.php,,9|11|18,"Fraccionamientos y Condominios|Operadores para puerta corrediza|Estacionamientos",12,BFT,YES,NO,2,YES,YES,"name; brand; images(compatible union); pdfs(compatible union)","description(text varies, see audit); category(9|11|18)",STRONG,SAME_PRODUCT_MULTI_CATEGORY,4,5,1,
23,labio-de-elevacion-mecanico-dockman.php,51|143,2,"Labio de elevaciÃ³n mecÃ¡nico ~~ Labio de elevaciÃ³n mecÃ¡nico Dockman",https://puertasyserviciosindustriales.com/labio-de-elevacion-mecanico-dockman.php,,21,"Labio de elevación para anden de carga",10,Dockman,NO,YES,1,YES,YES,"brand; description; images(compatible union); pdfs(compatible union); category(21, no divergence)",name,STRONG,SAME_PRODUCT_DIFFERENT_NAME,2,6,1,
24,cortina-plana.php,54|89|136,3,"Cortina Plana",https://puertasyserviciosindustriales.com/cortina-plana.php,,14|19,"Cortinas enrollables|Centros comerciales y hoteles",10,Dockman,YES,YES,1,YES,YES,"name; brand; description; images(compatible union); pdfs(compatible union)",category(14|19),STRONG,SAME_PRODUCT_MULTI_CATEGORY,3,9,1,
25,cortina-europea.php,55|90|137,3,"Cortina Europea",https://puertasyserviciosindustriales.com/cortina-europea.php,,14|19,"Cortinas enrollables|Centros comerciales y hoteles",10,Dockman,YES,YES,1,YES,YES,"name; brand; description; images(compatible union); pdfs(compatible union)",category(14|19),STRONG,SAME_PRODUCT_MULTI_CATEGORY,3,8,1,
26,operador-para-perfilados-comerciales-sel.php,78|84,2,"Operador de puerta comercial RMX Â®",https://puertasyserviciosindustriales.com/operador-para-perfilados-comerciales-sel.php,,11|13,"Operadores para puerta corrediza|Operadores para puertas seccionales y cortinas enrollables",1,"Overhead Door",YES,NO,2,YES,YES,"name; brand; images(compatible union); pdfs(compatible union)","description(text varies, see audit); category(11|13)",STRONG,SAME_PRODUCT_MULTI_CATEGORY,2,5,1,
27,cortinas-ventiladas-685.php,96|128,2,"Cortinas ventiladas 685",https://puertasyserviciosindustriales.com/cortinas-ventiladas-685.php,,14|19,"Cortinas enrollables|Centros comerciales y hoteles",1,"Overhead Door",YES,YES,1,YES,YES,"name; brand; description; images(compatible union); pdfs(compatible union)",category(14|19),STRONG,SAME_PRODUCT_MULTI_CATEGORY,2,4,1,
