legacy_file,legacy_url,content_type,title,meta_description,canonical,h1,template_pattern,category,brand,pdf,indexable,notes
cortina-en-aluminio-serie-511-521.php,https://puertasyserviciosindustriales.com/cortina-en-aluminio-serie-511-521.php,producto (probable),Cortina en aluminio serie 511 / 521 | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortina en aluminio serie 511 / 521 Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/commercial-aluminum-door-systems-brochure.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortina-europea.php,https://puertasyserviciosindustriales.com/cortina-europea.php,producto (probable),Cortina Europea | Dockman | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortina Europea Marca Dockman | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/CORTINA-EUROPEA.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortina-plana.php,https://puertasyserviciosindustriales.com/cortina-plana.php,producto (probable),Cortinas enrollables industriales | Dockman | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortinas enrollables industriales Marca Dockman | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Residenciales""]",detalle-estatico,,,fichas/CORTINA-PLANA.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortina-serie-600.php,https://puertasyserviciosindustriales.com/cortina-serie-600.php,producto (probable),Cortina serie 600 | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortina serie 600 Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/rolling-service-doors-600-brochure.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortina-serie-610.php,https://puertasyserviciosindustriales.com/cortina-serie-610.php,producto (probable),Cortina serie 610 | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortina serie 610 Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/Cortina-serie-610-620.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortina-serie-620.php,https://puertasyserviciosindustriales.com/cortina-serie-620.php,producto (probable),Cortina serie 620 | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortina serie 620 Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/rolling-steel-doors-610-620-brochure.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortina-serie-625.php,https://puertasyserviciosindustriales.com/cortina-serie-625.php,producto (probable),Cortina serie 625 | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortina serie 625 Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/rolling-service-doors-625-brochure.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortina-serie-630.php,https://puertasyserviciosindustriales.com/cortina-serie-630.php,producto (probable),Cortina serie 630-631-634-635 | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortina serie 630-631-634-635 Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/fireking-fire-door-systems-brochure.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortina-serie-790-cw.php,https://puertasyserviciosindustriales.com/cortina-serie-790-cw.php,producto (probable),Cortina serie 790 CW | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortina serie 790 CW Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/rolling-sheet-doors-790-780-770-brochure.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortinas-enrollables-de-aluminio.php,https://puertasyserviciosindustriales.com/cortinas-enrollables-de-aluminio.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Residenciales""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
cortinas-enrollables-industriales.php,https://puertasyserviciosindustriales.com/cortinas-enrollables-industriales.php,categoría / landing SEO (probable),Cortinas enrollables industriales | Soluciones | PSI | Puertas y Servicios Industriales,"Soluciones de Productos Cortinas enrollables industriales | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Residenciales""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cortinas-ventiladas-685.php,https://puertasyserviciosindustriales.com/cortinas-ventiladas-685.php,producto (probable),Cortinas ventiladas 685 | Overhead Door | Marcas | PSI | Puertas y Servicios Industriales,"Productos Cortinas ventiladas 685 Marca Overhead Door | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/security-grilles-681-685-brochure.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
cross-3e.php,https://puertasyserviciosindustriales.com/cross-3e.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
detector-de-masas-max-eagle.php,https://puertasyserviciosindustriales.com/detector-de-masas-max-eagle.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Productos Marca BFT""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
ditec-neos-y-neos.php,https://puertasyserviciosindustriales.com/ditec-neos-y-neos.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
dockman.php,https://puertasyserviciosindustriales.com/dockman.php,marca,Dockman | Marcas | PSI | Puertas y Servicios Industriales,"Productos Marca Dockman | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Marcas""]",listado-marca,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,https://puertasyserviciosindustriales.com/dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""DOD – Automatización compacto y potente para portones seccionales, correderos y enrollables""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
doorlock.php,https://puertasyserviciosindustriales.com/doorlock.php,marca,Doorlock | Marcas | PSI | Puertas y Servicios Industriales,"Productos Marca Doorlock | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Marcas""]",listado-marca,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
dura-glide-20003000-puerta.php,https://puertasyserviciosindustriales.com/dura-glide-20003000-puerta.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
energy-series-with-intellicore-37171-3-4.php,https://puertasyserviciosindustriales.com/energy-series-with-intellicore-37171-3-4.php,producto (probable),ENERGY SERIES WITH INTELLICORE® 3717 1 3/4″ | Clopay | Marcas | PSI | Puertas y Servicios Industriales,"Productos ENERGY SERIES WITH INTELLICORE® 3717 1 3/4″ Marca Clopay | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Residenciales""]",detalle-estatico,,,fichas/CMDC-3717-3718-11.pdf | fichas/M-28R.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
energy-series-with-intellicore-3720-3724-3722.php,https://puertasyserviciosindustriales.com/energy-series-with-intellicore-3720-3724-3722.php,producto (probable),ENERGY SERIES WITH INTELLICORE® 3720 /3724 / 3722 | Clopay | Marcas | PSI | Puertas y Servicios Industriales,"Productos ENERGY SERIES WITH INTELLICORE® 3720 /3724 / 3722 Marca Clopay | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Residenciales""]",detalle-estatico,,,fichas/Clopay-3720-07.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
equipos-y-accesorios-para-anden-de-carga.php,https://puertasyserviciosindustriales.com/equipos-y-accesorios-para-anden-de-carga.php,categoría / landing SEO (probable),Equipos y Accesorios para Anden de Carga | Soluciones comerciales | PSI | Puertas y Servicios Industriales,"Equipos y Accesorios para Anden de Carga | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""EQUIPOS Y ACCESORIOS PARA""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
estacionamientos.php,https://puertasyserviciosindustriales.com/estacionamientos.php,categoría / landing SEO (probable),Estacionamientos | Soluciones comerciales | PSI | Puertas y Servicios Industriales,"Solucione comerciales de Estacionamientos | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Comerciales""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
fast-seal-high-performance-door.php,https://puertasyserviciosindustriales.com/fast-seal-high-performance-door.php,producto (probable),Fast-Seal® High Performance Door | Rytec | Marcas | PSI | Puertas y Servicios Industriales,"Productos Fast-Seal® High Performance Door Marca Rytec | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/Fast-Seal_LIT020520_ES-2.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
fire-rated-doors-firestar-models-700-700c.php,https://puertasyserviciosindustriales.com/fire-rated-doors-firestar-models-700-700c.php,producto (probable),Fire Rated Doors FireStar® Models 700 & 700c | Wayne Dalton | Marcas | PSI | Puertas y Servicios Industriales,"Productos Fire Rated Doors FireStar® Models 700 & 700c Marca Wayne Dalton | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/Folleto-de-Cortina-Enrollable-Wayne-Dalton-Firestar-700-2.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
fotoceldas.php,https://puertasyserviciosindustriales.com/fotoceldas.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Productos Marca BFT""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
fraccionamientos-y-condominios.php,https://puertasyserviciosindustriales.com/fraccionamientos-y-condominios.php,categoría / landing SEO (probable),Fraccionamientos y Condominios | Soluciones | PSI | Puertas y Servicios Industriales,"Soluciones de Productos Fraccionamientos y Condominios | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Comerciales""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
glg-porte-industriali.php,https://puertasyserviciosindustriales.com/glg-porte-industriali.php,marca,GLG Porte Industriali | Marcas | PSI | Puertas y Servicios Industriales,"Productos Marca GLG Porte Industriali | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Marcas""]",listado-marca,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
gol-transmisores-de-cuatro-canales.php,https://puertasyserviciosindustriales.com/gol-transmisores-de-cuatro-canales.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Productos Marca BFT""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
icaro-smart.php,https://puertasyserviciosindustriales.com/icaro-smart.php,producto (probable),ICARO SMART AC A2000 120 | BFT | Marcas | PSI | Puertas y Servicios Industriales,"Productos ICARO SMART AC A2000 120 Marca BFT | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/pistones-hidraulicos-lux.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
index-estatico.php,https://puertasyserviciosindustriales.com/index-estatico.php,página pública,PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",,"Bienvenidos a nuestro sitio web . | Venta, instalación y mantenimiento de puertas automáticas | Venta, instalación y mantenimiento de rampas para Taller o Niveladoras de Andén | Venta, instalación y mantenimiento de rampas para Taller o Niveladoras de Andén",inicio,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
index-resp.php,https://puertasyserviciosindustriales.com/index-resp.php,página pública,PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",,"Bienvenidos a nuestro sitio web . | Venta, instalación y mantenimiento de puertas automáticas | Venta, instalación y mantenimiento de rampas para Taller o Niveladoras de Andén",inicio,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
index.php,https://puertasyserviciosindustriales.com/index.php,página pública,PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",,"Bienvenidos a nuestro sitio web . | Venta, instalación y mantenimiento de puertas automáticas | Venta, instalación y mantenimiento de rampas para Taller o Niveladoras de Andén | Venta, instalación y mantenimiento de rampas para Taller o Niveladoras de Andén",inicio,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
industrial.php,https://puertasyserviciosindustriales.com/industrial.php,categoría / landing SEO (probable),Industriales | Soluciones | PSI | Puertas y Servicios Industriales,"Soluciones de Productos Industriales | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
infraca-quality-doors.php,https://puertasyserviciosindustriales.com/infraca-quality-doors.php,marca,Infraca Quality Doors | Marcas | PSI | Puertas y Servicios Industriales,"Productos Marca Infraca Quality Doors | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Marcas""]",listado-marca,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
kelley.php,https://puertasyserviciosindustriales.com/kelley.php,marca,Kelley | Marcas | PSI | Puertas y Servicios Industriales,"Productos Marca Kelley | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Marcas""]",listado-marca,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,https://puertasyserviciosindustriales.com/kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,producto (probable),ALUMINA – Puertas rápidas autorreparable | GLG Porte Industriali | Marcas | PSI | Puertas y Servicios Industriales,"Productos ALUMINA – Puertas rápidas autorreparable Marca GLG Porte Industriali | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/Alumina-Technical-Specifications-15.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
lab-4-fotocelulas-de-rayos-infrarrojos.php,https://puertasyserviciosindustriales.com/lab-4-fotocelulas-de-rayos-infrarrojos.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Productos Marca BFT""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
lab-9-detectores-de-volumen-de-metal-loop.php,https://puertasyserviciosindustriales.com/lab-9-detectores-de-volumen-de-metal-loop.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Productos Marca BFT""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
labio-de-elevacion-mecanico-dockman.php,https://puertasyserviciosindustriales.com/labio-de-elevacion-mecanico-dockman.php,producto (probable),Labio de elevación mecánico | Dockman | Marcas | PSI | Puertas y Servicios Industriales,"Productos Labio de elevación mecánico Marca Dockman | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Soluciones Industriales""]",detalle-estatico,,,fichas/Minidock.pdf,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
labio-elevacion-anden-carga.php,https://puertasyserviciosindustriales.com/labio-elevacion-anden-carga.php,categoría / landing SEO (probable),Labio de elevación | Equipos y Accesorios para Anden de Carga | PSI | Puertas y Servicios Industriales,"Labio de elevación para anden de carga | Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Equipos y Accesorios para Anden de Carga""]",listado-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN
lan-4-sistema-de-teclado-con-combinacion-digital.php,https://puertasyserviciosindustriales.com/lan-4-sistema-de-teclado-con-combinacion-digital.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Productos Marca BFT""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
lan-7-sistema-de-mando-de-proximidad-de-tarjetas-con-tecnologia-transponder.php,https://puertasyserviciosindustriales.com/lan-7-sistema-de-mando-de-proximidad-de-tarjetas-con-tecnologia-transponder.php,producto (probable por estructura),PSI | Puertas y Servicios Industriales,"Venta, instalación y mantenimiento de puertas automáticas para diferentes sectores de la industria",," [JS: ""Productos Marca BFT""]",detalle-estatico,,,,UNKNOWN,Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado
