candidate_group,product_ids,record_count,db_categories,db_brands,aliases,decision,notes
puertas-seccionales-de-acero-aisladas-thermospan-modelo-150.php,14|57,2,0|8,0|2,puertas-seccionales-de-acero-aisladas-thermospan.php,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puertas-seccionales-de-acero-modelo-2415.php,15|60,2,0|8,0|2,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-de-acero-acanalado-modelos-524.php,18|58,2,0|8,0|3,puerta-de-acero-acanalado.php,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
energy-series-with-intellicore-3720-3724-3722.php,19|61,2,0|8,0|3,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
shelter-abrigo-estacionario-blue-giant.php,21|147,2,0|23,0|4,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
retenedor-de-vehiculos.php,22|144,2,0|22,0|4,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
rampa-niveladora-mecanica-blue-giant.php,23|140,2,0|10,0|4,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
star4-vehicle-restraint.php,25|145,2,0|22,0|5,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-contra-explosion.php,26|117,2,0|31,0|6,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
accesorios.php,27|138,2,0|20,0|6,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puertas-blindadas.php,28|118|129,3,0|19|32,0|6,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puertas-contra-incendio.php,29|116|130,3,0|19|33,0|6,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puertas-contra-rayos-x.php,30|115,2,0|34,0|6,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-estandar.php,31|119|131,3,0|19|27,0|6,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-estandar-reforzada.php,32|120|132,3,0|19|28,0|6,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-holandesa.php,33|122|133,3,0|19|29,0|6,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-para-hospital.php,34,1,0,6,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-y-fijos-louver.php,35|121|134,3,0|19|30,0|6,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
fast-seal-high-performance-door.php,36|101,2,0|17,0|7,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
predadoor-nxt-door.php,37|102,2,0|17,0|7,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
rapida-enrollable-industrial.php,38|103,2,0|17,0|8,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
rapida-apilable.php,39|104,2,0|17,0|8,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
rolli-zip.php,40|105,2,0|17,0|9,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,41|106,2,0|17,0|9,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
vertigo.php,42|100,2,0|14,0|9,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
lift-master-mod-h.php,43|81,2,0|13,0|11,liftmaster-modh.php,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
barreras-estacionamiento-moovi50rm.php,44|123|125|135,4,0|9|18|19,0|12,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
serie-x130-motor-para-cortina-oculto.php,45|83,2,0|13,0|12,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
phobos-n-piston-electromecanico.php,46|111,2,0|38,0|12,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
p45-7-piston-hidraulico-para-puerta-abatible.php,47|80|113,3,0|12|38,0|12,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
lux-2b-y-lux-gv-piston-hidraulico-para-puerta-abatible.php,48|79|112,3,0|12|38,0|12,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
icaro-smart.php,49|76|124|126,4,0|9|11|18,0|12,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puertas-industriales-dockman.php,50|59,2,0|8,0|10,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
labio-de-elevacion-mecanico-dockman.php,51|143,2,0|21,0|10,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
sellos-de-anden.php,52|149,2,0|23,0|10,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
rampas-de-anden-hidraulicas.php,53|141,2,0|10,0|10,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortina-plana.php,54|89|136,3,0|14|19,0|10,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortina-europea.php,55|90|137,3,0|14|19,0|10,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
rampas-de-anden-mecanicas.php,56|142,2,0|10,0|10,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-seccional-de-acero-sin-aislamiento-416-uso-muy-pesado.php,63,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puertas-seccionales-de-acero-sin-aislamiento-420-uso-pesado.php,64,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-seccional-de-acero-sin-aislamiento-424-uso-pesado.php,65,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puert-seccional-de-acero-sin-aislamiento-430-uso-medio.php,66,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puertas-seccionales-de-aluminio-521.php,67,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-seccional-de-acero-perfiles-418.php,68,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-seccionabl-acero-perfiles-422-uso-pesado.php,69,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puertas-seccionales-de-acero-perfiles-426.php,70,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-seccional-de-acero-perfiles-432-uso-medio.php,71,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-seccional-de-acero-thermacore-593-uso-medio.php,72,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-seccional-de-acero-thermacore-594-uso-medio.php,73,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puertas-seccionales-de-acero-thermacore-598-uso-liviano.php,74,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
puerta-seccional-de-acero-thermacore-599-uso-muy-pesado.php,75,1,8,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
operador-para-perfilados-comerciales-jst.php,77,1,11,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
operador-para-perfilados-comerciales-sel.php,78|84,2,11|13,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
operadores-para-puertas-de-mostrador-cdo.php,85,1,13,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
operador-para-cortina-enrrollable-rsx.php,86,1,13,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortina-serie-790-cw.php,92,1,14,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortina-serie-610.php,95,1,14,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortinas-ventiladas-685.php,96|128,2,14|19,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortina-de-seguridad-670.php,97,1,14,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
cortina-de-seguridad-671.php,98,1,14,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
retenedor-vehiculos-hvr303.php,146,1,22,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
sellos-para-anden-shelter-de-soporte-flexible.php,148,1,23,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
sellos-nacionales.php,150,1,23,0,,REVIEW_NO_AUTOMATIC_MERGE,Coincidencia documental con ficha estatica; preservar todos los IDs y contextos
